date,number_of_groups,total_groups_attendance,group_leaders,coaches,total_connection_volunteers
1/3/21,42,352,,,
1/10/21,42,352,,,
1/17/21,42,352,,,
1/24/21,42,352,,,
1/31/21,42,352,,,
2/7/21,29,308,,,
2/14/21,29,308,,,
2/21/21,29,308,,,
2/28/21,38,320,,,
3/7/21,39,340,,,
3/14/21,39,340,,,
3/21/21,39,340,,,
3/28/21,38,348,,,
4/4/21,39,351,,,
4/11/21,39,355,,,
4/18/21,39,355,,,
4/25/21,41,362,,,
5/2/21,41,364,,,
5/9/21,41,364,,,
5/16/21,41,364,,,
5/23/21,41,362,,,
5/30/21,41,362,,,
6/6/21,41,362,,,
6/13/21,41,362,,,
6/20/21,41,362,,,
6/27/21,41,366,,,
7/4/21,41,367,,,
7/11/21,41,372,,,
7/18/21,41,372,,,
7/25/21,41,372,,,
8/1/21,41,372,,,
8/8/21,41,379,,,
8/15/21,41,379,,,
8/22/21,41,375,,,
8/29/21,41,375,,,
9/5/21,43,472,,,
9/12/21,42,472,,,
9/19/21,42,471,,,
9/26/21,43,465,,,
10/3/21,43,465,,,
10/10/21,43,464,,,
10/17/21,43,456,,,
10/24/21,43,456,,,
10/31/21,43,453,,,
11/7/21,43,455,,,
11/14/21,43,453,,,
11/21/21,43,453,,,
11/28/21,43,453,,,
12/5/21,43,453,,,
12/12/21,43,439,,,
12/19/21,43,439,,,
12/26/21,,,,,
1/2/22,43,438,,,
1/9/22,43,438,,,
1/16/22,43,438,,,
1/23/22,43,438,,,
1/30/22,50,438,,,
2/6/22,50,504,,,
2/13/22,50,504,,,
2/20/22,50,498,,,
2/27/22,49,484,,,
3/6/22,49,480,,,
3/13/22,49,480,,,
3/20/22,49,475,,,
3/27/22,50,480,,,
4/3/22,50,480,,,
4/10/22,50,480,,,
4/17/22,50,480,,,
4/24/22,50,475,,,
5/1/22,50,475,,,
5/8/22,50,470,,,
5/15/22,50,469,,,
5/22/22,50,469,,,
5/29/22,50,467,,,
6/5/22,50,467,,,
6/12/22,50,467,,,
6/19/22,50,467,,,
6/26/22,50,468,,,
7/3/22,50,468,,,
7/10/22,50,468,,,
7/17/22,50,468,,,
7/24/22,50,468,,,
7/31/22,50,468,,,
8/7/22,50,468,,,
8/14/22,50,468,,,
8/21/22,50,468,,,
8/28/22,60,518,,,
9/4/22,60,560,,,
9/11/22,60,560,,,
9/18/22,59,560,,,
9/25/22,59,550,,,
10/2/22,59,550,,,
10/9/22,59,562,,,
10/16/22,59,563,,,
10/23/22,59,566,,,
10/30/22,59,561,,,
11/6/22,59,556,,,
11/13/22,59,554,,,
11/20/22,59,553,,,
11/27/22,59,553,,,
12/4/22,59,553,,,
12/11/22,59,553,,,
12/18/22,59,553,,,
12/25/22,,,,,
1/1/23,59,553,,,
1/8/23,59,553,,,
1/15/23,59,482,,,
1/22/23,62,519,,,
1/29/23,62,569,,,
2/5/23,63,604,,,
2/12/23,63,620,,,
2/19/23,63,620,,,
2/26/23,63,619,,,
3/5/23,63,617,,,
3/12/23,63,616,,,
3/19/23,63,617,,,
3/26/23,63,616,,,
4/2/23,63,616,,,
4/9/23,63,611,,,
4/16/23,63,608,,,
4/23/23,63,602,,,
4/30/23,63,601,,,
5/7/23,63,601,,,
5/14/23,63,599,,,
5/21/23,63,602,,,
5/28/23,63,603,,,
6/4/23,63,604,,,
6/11/23,63,605,,,
6/18/23,63,605,,,
6/25/23,63,605,,,
7/2/23,63,604,,,
7/9/23,63,605,,,
7/16/23,33,468,,,
7/23/23,33,457,,,
7/30/23,33,457,,,
8/6/23,33,457,,,
8/13/23,62,457,,,
8/20/23,62,457,,,
8/27/23,61,568,,,
9/3/23,60,632,,,
9/10/23,61,656,,,
9/17/23,61,661,,,
9/24/23,61,674,,,
10/1/23,61,669,,,
10/8/23,61,667,,,
10/15/23,61,665,,,
10/22/23,61,662,,,
10/29/23,61,660,,,
11/5/23,61,657,,,
11/12/23,61,657,,,
11/19/23,61,657,,,
11/26/23,61,658,,,
12/3/23,61,658,,,
12/10/23,61,657,,,
12/17/23,61,653,,,
12/24/23,61,653,,,
12/31/23,,600,,,
1/7/24,61,656,,,
1/14/24,61,656,,,
1/21/24,47,567,,,
1/28/24,69,611,,,
2/4/24,69,650,,,
2/11/24,67,702,,,
2/18/24,67,702,,,
2/25/24,67,701,,,
3/3/24,67,700,,,
3/10/24,67,701,,,
3/17/24,66,696,,,
3/24/24,66,697,,,
3/31/24,66,699,,,
4/7/24,66,694,,,
4/14/24,66,694,,,
4/21/24,66,689,,,
4/28/24,66,692,,,
5/5/24,66,692,,,
5/12/24,66,693,,,
5/19/24,67,703,,,
5/26/24,67,703,,,
6/2/24,67,706,,,
6/9/24,67,706,,,
6/16/24,67,706,,,
6/23/24,67,706,,,
6/30/24,67,706,,,
7/7/24,67,706,,,
7/14/24,67,706,,,
7/21/24,41,490,,,
7/28/24,41,490,,,
8/4/24,41,490,,,
8/11/24,41,490,,,
8/18/24,69,529,,,
8/25/24,70,617,,,
9/1/24,70,692,,,
9/8/24,70,692,,,
9/15/24,69,676,,,
9/22/24,69,678,,,
9/29/24,69,678,,,
10/6/24,69,675,,,
10/13/24,69,677,,,
10/20/24,69,669,,,
10/27/24,69,664,,,
11/3/24,69,665,,,
11/10/24,69,664,,,
11/17/24,71,666,,,
11/24/24,72,668,,,
12/1/24,72,669,,,
12/8/24,72,669,,,
12/15/24,72,669,,,
12/22/24,72,669,,,
12/29/24,,,,,
1/5/25,72,669,,,
1/12/25,72,669,,,
1/19/25,74,699,,,
1/26/25,74,707,,,
2/2/25,75,712,,,
2/9/25,75,712,,,
2/16/25,75,718,,,
2/23/25,75,720,,,
3/2/25,75,720,,,
3/9/25,74,708,,,
3/16/25,74,709,,,
3/23/25,74,708,,,
3/30/25,74,710,,,
4/6/25,74,707,,,
4/13/25,74,707,,,
4/20/25,74,706,,,
4/27/25,74,709,,,
5/4/25,74,710,,,
5/11/25,76,713,,,
5/18/25,76,713,,,
5/25/25,76,713,,,
6/1/25,76,713,,,
6/8/25,76,714,,,
6/15/25,76,715,,,
6/22/25,76,715,,,