date,attendance_930,attendance_1100,total_attendance,new_kids_930,new_kids_1100,total_new_kids,grade_k_1_male,grade_k_1_female,grade_2_3_male,grade_2_3_female,grade_4_5_male,grade_4_5_female,notes
1/3/21,,,,,,,,,,,,,
1/10/21,20,9,28,,,,,,,,,,
1/17/21,20,23,43,,,,,,,,,,
1/24/21,,25,46,,,,,,,,,,
1/31/21,17,33,50,,,,,,,,,,
2/7/21,,35,65,,,,,,,,,,
2/14/21,,,0,,,,,,,,,,
2/21/21,22,28,50,,,,,,,,,,
2/28/21,26,37,63,,,,,,,,,,
3/7/21,17,27,44,1,2,,,,,,,,
3/14/21,18,27,45,,,,,,,,,,
3/21/21,17,30,47,,,,,,,,,,
3/28/21,27,31,58,2,2,,,,,,,,
4/4/21,,,,,,,,,,,,,
4/11/21,26,23,49,3,,,,,,,,,
4/18/21,42,34,76,,,,,,,,,,
4/25/21,44,38,82,1,0,,,,,,,,
5/2/21,45,43,88,5,3,,,,,,,,
5/9/21,46,35,81,,,,,,,,,,
5/16/21,50,36,86,,,,,,,,,,
5/23/21,55,61,116,,,,,,,,,,
5/30/21,42,42,84,,,3,,,,,,,
6/6/21,58,60,118,,,7,,,,,,,
6/13/21,45,49,94,,,4,,,,,,,
6/20/21,43,43,86,,,3,,,,,,,
6/27/21,49,41,90,,,6,,,,,,,
7/4/21,,,,,,,,,,,,,
7/11/21,61,41,102,,,6,,,,,,,
7/18/21,37,134,171,,,25,,,,,,,
7/25/21,53,53,106,,,13,,,,,,,
8/1/21,50,58,108,,,4,,,,,,,
8/8/21,50,62,112,,,8,,,,,,,
8/15/21,66,70,136,,,0,,,,,,,
8/22/21,61,72,133,,,8,,,,,,,
8/29/21,52,58,110,,,1,,,,,,,
9/5/21,51,56,107,,,8,,,,,,,
9/12/21,48,65,113,,,3,,,,,,,
9/19/21,53,61,114,,,3,,,,,,,
9/26/21,53,50,103,,,2,,,,,,,
10/3/21,56,53,109,,,3,,,,,,,
10/10/21,50,53,103,,,,,,,,,,
10/17/21,63,48,111,,,1,,,,,,,
10/24/21,64,38,102,,,4,,,,,,,
10/31/21,78,66,144,,,4,,,,,,,
11/7/21,51,50,101,,,2,,,,,,,
11/14/21,50,37,87,,,1,,,,,,,
11/21/21,49,42,91,,,3,,,,,,,
11/28/21,53,49,102,,,3,,,,,,,
12/5/21,59,60,119,,,6,,,,,,,
12/12/21,57,43,100,,,2,,,,,,,
12/19/21,57,55,112,,,7,,,,,,,
12/26/21,,,,,,,,,,,,,
1/2/22,,,,,,,,,,,,,
1/9/22,66,69,135,5,4,9,,,,,,,
1/16/22,46,40,86,0,0,0,,,,,,,
1/23/22,52,61,113,4,4,8,,,,,,,
1/30/22,51,54,105,5,2,7,,,,,,,
2/6/22,66,70,136,6,3,9,,,,,,,
2/13/22,58,75,133,0,4,4,,,,,,,
2/20/22,71,67,138,3,10,13,,,,,,,
2/27/22,72,86,158,3,0,3,,,,,,,
3/6/22,63,65,128,5,0,5,,,,,,,
3/13/22,30,63,93,0,2,2,,,,,,,
3/20/22,53,52,105,1,2,3,,,,,,,
3/27/22,61,68,129,0,1,1,,,,,,,
4/3/22,57,59,116,2,3,5,,,,,,,
4/10/22,57,63,120,1,1,2,,,,,,,
4/17/22,136,131,267,16,7,23,,,,,,,
4/24/22,53,57,110,3,1,4,,,,,,,
5/1/22,60,49,109,1,5,6,,,,,,,
5/8/22,54,51,105,0,3,3,,,,,,,
5/15/22,58,65,123,0,0,0,,,,,,,
5/22/22,59,49,108,2,0,2,,,,,,,
5/29/22,,,,,,0,,,,,,,
6/5/22,24,64,88,0,4,4,,,,,,,
6/12/22,38,43,81,0,0,0,,,,,,,
6/19/22,49,30,79,0,1,1,,,,,,,
6/26/22,50,56,106,4,1,5,,,,,,,
7/3/22,44,38,82,1,2,3,,,,,,,
7/10/22,44,61,105,0,3,3,,,,,,,
7/17/22,34,98,132,3,11,14,,,,,,,
7/24/22,48,63,111,2,5,7,,,,,,,
7/31/22,49,62,111,3,6,9,,,,,,,
8/7/22,59,66,125,0,8,8,,,,,,,
8/14/22,67,72,139,,,0,,,,,,,
8/21/22,70,81,151,3,6,9,,,,,,,
8/28/22,74,77,151,1,1,2,,,,,,,
9/4/22,55,84,139,1,6,7,,,,,,,
9/11/22,88,75,163,0,3,3,,,,,,,
9/18/22,69,51,120,3,6,9,,,,,,,
9/25/22,74,68,142,3,5,8,,,,,,,
10/2/22,56,41,97,3,0,3,,,,,,,
10/9/22,47,56,103,,,0,,,,,,,
10/16/22,63,41,104,3,0,3,,,,,,,
10/23/22,58,50,108,0,0,0,,,,,,,
10/30/22,68,72,140,2,5,7,,,,,,,
11/6/22,68,37,105,2,0,2,,,,,,,
11/13/22,65,42,107,1,1,2,,,,,,,
11/20/22,60,40,100,0,0,0,,,,,,,
11/27/22,62,51,113,0,0,0,,,,,,,
12/4/22,83,54,137,3,5,8,,,,,,,
12/11/22,68,66,134,0,2,2,,,,,,,
12/18/22,47,46,93,0,1,1,,,,,,,
12/25/22,,,,,,,,,,,,,
1/1/23,,,,,,,,,,,,,
1/8/23,87,73,160,2,6,8,,,,,,,
1/15/23,76,73,149,2,2,4,,,,,,,
1/22/23,75,62,137,1,6,7,,,,,,,
1/29/23,74,73,147,1,7,8,,,,,,,
2/5/23,76,71,147,2,4,6,,,,,,,
2/12/23,71,63,134,1,4,5,,,,,,,
2/19/23,56,53,109,4,0,4,,,,,,,
2/26/23,75,71,146,2,1,3,,,,,,,
3/5/23,74,85,159,3,4,7,,,,,,,
3/12/23,51,72,123,,,0,,,,,,,
3/19/23,52,63,115,2,1,3,,,,,,,
3/26/23,58,65,123,4,1,5,,,,,,,
4/2/23,63,52,115,4,3,7,,,,,,,
4/9/23,111,154,265,0,4,4,,,,,,,
4/16/23,51,57,108,1,2,3,,,,,,,
4/23/23,67,64,131,2,1,3,,,,,,,
4/30/23,66,60,126,2,2,4,,,,,,,
5/7/23,68,64,132,1,0,1,,,,,,,
5/14/23,76,88,164,0,2,2,,,,,,,
5/21/23,63,56,119,3,3,6,,,,,,,
5/28/23,,,,,,0,,,,,,,
6/4/23,82,61,143,3,3,6,,,,,,,
6/11/23,56,64,120,1,3,4,,,,,,,
6/18/23,54,52,106,0,2,2,,,,,,,
6/25/23,53,63,116,1,2,3,,,,,,,
7/2/23,60,62,122,2,3,5,,,,,,,
7/9/23,66,66,132,3,4,7,,,,,,,
7/16/23,62,117,179,4,17,21,,,,,,,
7/23/23,66,86,152,8,6,14,,,,,,,
7/30/23,66,84,150,,,,,,,,,,
8/6/23,71,69,140,1,4,5,,,,,,,
8/13/23,85,89,174,5,3,8,,,,,,,
8/20/23,89,109,198,,,,,,,,,,
8/27/23,94,83,177,,,,,,,,,,
9/3/23,77,83,160,,,,,,,,,,
9/10/23,101,90,191,1,5,6,,,,,,,
9/17/23,80,90,170,,,,,,,,,,
9/24/23,98,64,162,2,2,4,,,,,,,
10/1/23,89,77,166,0,0,0,,,,,,,
10/8/23,67,78,145,,,,,,,,,,
10/15/23,66,75,141,4,2,6,,,,,,,
10/22/23,64,54,118,4,0,4,,,,,,,
10/29/23,94,97,191,2,5,7,,,,,,,
11/5/23,91,56,147,0,0,0,,,,,,,
11/12/23,62,87,149,0,6,6,,,,,,,
11/19/23,75,66,141,1,4,5,,,,,,,
11/26/23,62,80,142,,,,,,,,,,
12/3/23,84,80,164,1,6,7,,,,,,,
12/10/23,80,90,170,0,3,3,,,,,,,
12/17/23,54,69,123,0,0,,,,,,,,
12/24/23,,,,,,,,,,,,,
12/31/23,,,,,,,,,,,,,
1/7/24,14,5,166,80,86,0,,,,,,,
1/14/24,7,5,119,51,68,0,,,,,,,
1/21/24,9,5,174,87,87,0,,,,,,,
1/28/24,12,4,149,76,73,0,,,,,,,
2/4/24,13,7,189,93,96,0,,,,,,,
2/11/24,11,3,155,73,82,0,,,,,,,
2/18/24,14,6,169,93,76,1,,,,,,,
2/25/24,10,6,183,94,89,0,,,,,,,
3/3/24,11,9,187,97,90,0,,,,,,,
3/10/24,9,4,131,61,70,0,,,,,,,
3/17/24,14,4,137,80,57,0,,,,,,,
3/24/24,9,5,147,76,71,0,,,,,,,
3/31/24,,,321,,,0,,,,,,,
4/7/24,8,6,128,65,63,0,,,,,,,
4/14/24,9,5,147,75,72,0,,,,,,,
4/21/24,14,6,167,84,83,0,,,,,,,
4/28/24,9,6,133,53,80,0,,,,,,,
5/5/24,8,6,155,68,87,0,,,,,,,
5/12/24,10,7,152,68,84,0,,,,,,,
5/19/24,9,8,146,73,73,0,,,,,,,
5/26/24,,,,,,,,,,,,,
6/2/24,7,7,184,98,86,0,,,,,,,
6/9/24,5,5,141,86,55,0,,,,,,,
6/16/24,5,6,149,83,66,0,,,,,,,
6/23/24,4,8,152,75,77,0,,,,,,,
6/30/24,5,11,149,63,86,0,,,,,,,
7/7/24,9,9,181,95,86,0,,,,,,,
7/14/24,10,15,215,73,142,0,,,,,,,
7/21/24,8,8,161,75,86,0,,,,,,,
7/28/24,3,7,148,73,75,0,,,,,,,
8/4/24,3,14,179,78,101,0,,,,,,,
8/11/24,7,12,205,93,112,0,,,,,,,
8/18/24,11,15,240,118,122,0,,,,,,,
8/25/24,4,15,230,104,126,0,,,,,,,
9/1/24,7,6,177,80,97,0,,,,,,,
9/8/24,7,13,197,94,103,0,,,,,,,
9/15/24,4,17,203,89,114,0,,,,,,,
9/22/24,2,8,187,91,96,0,,,,,,,
9/29/24,4,9,182,93,89,0,,,,,,,
10/6/24,7,9,183,92,91,0,,,,,,,
10/13/24,5,9,184,99,85,0,,,,,,,
10/20/24,5,13,174,98,76,0,,,,,,,
10/27/24,3,16,225,107,118,0,,,,,,,
11/3/24,4,5,180,96,84,0,,,,,,,
11/10/24,7,10,189,98,91,0,,,,,,,
11/17/24,8,13,171,84,87,0,,,,,,,
11/24/24,3,4,149,80,69,0,,,,,,,
12/1/24,7,7,158,81,77,0,,,,,,,
12/8/24,2,5,159,76,83,0,,,,,,,
12/15/24,4,5,182,97,85,0,,,,,,,
12/22/24,,,,,,,,,,,,,
12/29/24,,,,,,,,,,,,,
1/5/25,98,96,194,2,13,15,,,,,,,
1/12/25,115,108,223,3,4,7,,,,,,,
1/19/25,84,67,151,2,2,4,,,,,,,
1/26/25,94,84,178,5,2,7,,,,,,,
2/2/25,97,95,192,3,4,7,,,,,,,
2/9/25,88,91,179,2,1,3,,,,,,,
2/16/25,91,90,181,0,3,3,,,,,,,
2/23/25,79,90,169,0,3,3,,,,,,,
3/2/25,113,79,192,3,2,5,,,,,,,
3/9/25,90,80,170,2,1,3,,,,,,,
3/16/25,62,65,128,2,1,3,,,,,,,
3/23/25,87,79,166,3,2,5,,,,,,,
3/30/25,97,86,182,1,2,3,,,,,,,
4/6/25,85,94,178,1,6,7,,,,,,,
4/13/25,101,91,191,3,2,5,,,,,,,
4/20/25,182,139,321,,,29,,,,,,,
4/27/25,77,75,151,0,3,3,,,,,,,
5/4/25,82,85,166,2,0,2,,,,,,,
5/11/25,115,96,211,4,2,6,,,,,,,
5/18/25,93,82,174,2,2,4,,,,,,,
5/25/25,,,,,,,,,,,,,
6/1/25,104,99,202,2,1,3,,,,,,,
6/8/25,79,68,146,0,1,1,,,,,,,
6/15/25,83,74,156,1,1,1,,,,,,,